#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
355,Andruw Monasterio,BOS,28,107,120,26,18,5,0,2,12,11,10,0,28,1,1,1,4,1,0.239
356,Travis d'Arnaud,LAA,29,105,117,24,15,5,0,4,12,14,8,0,30,2,1,1,0,0,0.224
357,Adrian Del Castillo,ARI,26,96,107,22,13,5,0,3,12,12,9,0,29,1,1,1,0,0,0.228
358,Griffin Conine,MIA,38,145,163,34,20,6,1,7,19,20,15,0,53,1,1,1,1,0,0.232
359,Jose Siri,LAA,27,108,118,24,14,4,1,5,14,14,8,0,40,1,1,1,4,1,0.221
360,Max Clark,DET,19,72,82,17,12,3,1,2,10,8,8,0,18,0,1,0,2,0,0.237
361,Isiah Kiner-Falefa,BOS,35,140,153,36,28,6,0,1,16,12,9,0,25,2,1,1,5,1,0.255
362,Harry Ford,WSN,16,53,62,12,8,2,0,1,6,6,7,0,15,1,0,0,1,0,0.222
363,Edwin Arroyo,CIN,29,115,125,28,19,5,1,3,15,12,7,0,28,1,1,1,2,1,0.241
364,Miguel Rojas,LAD,37,146,160,34,25,7,0,2,15,14,11,0,23,1,1,1,3,1,0.234
365,Zach Cole,HOU,23,88,99,19,11,4,1,4,13,12,8,0,37,2,1,1,3,1,0.219
366,Taylor Walls,TBR,45,169,193,35,24,8,1,3,21,16,20,0,47,1,1,1,8,2,0.208
